681,485,83,682,668,809,816,684,812,814,797,671,663,561,865,538,141,183,1224,807,804,992,460,966,123,219,478,861,1078,267,885,806,1198,386,729,1115,1213,868,1002,688,1109,484,1051,532,476,27,316,217,368,556,1175,322,468,
Score Information 
681 : 0.29583867040663114
485 : 0.07901345201600818
83 : 0.04991935285158822
682 : 0.04214183970139751
668 : 0.03261822131424408
809 : 0.028277155829466993
816 : 0.02418137657643804
684 : 0.02131462491227265
812 : 0.020104716982729087
814 : 0.020104716982729087
797 : 0.020104716982729087
671 : 0.019235227744564876
663 : 0.01916988383748852
561 : 0.016748918912911304
865 : 0.014985916911617991
538 : 0.014915531027655637
141 : 0.013905856709597986
183 : 0.013832920579525787
1224 : 0.013053596110510268
807 : 0.012007802265532552
804 : 0.012007802265532552
992 : 0.012007802265532552
460 : 0.011919838596899712
966 : 0.011015907787017776
123 : 0.010355172674420654
219 : 0.010068651957480412
478 : 0.00970582210481652
861 : 0.009531241734691553
1078 : 0.008808412636534202
267 : 0.00879383738683015
885 : 0.008364777643971255
806 : 0.007987083207862122
1198 : 0.007987083207862122
386 : 0.007987083207862122
729 : 0.007987083207862122
1115 : 0.007987083207862122
1213 : 0.007987083207862122
868 : 0.00788483856815092
1002 : 0.006890518709076421
688 : 0.006890518709076421
1109 : 0.006890518709076421
484 : 0.006890518709076421
1051 : 0.006890518709076421
532 : 0.006890518709076421
476 : 0.006890518709076421
27 : 0.006890518709076421
316 : 0.006890518709076421
217 : 0.006890518709076421
368 : 0.006890518709076421
556 : 0.006890518709076421
1175 : 0.006890518709076421
322 : 0.006890518709076421
468 : 0.006890518709076421
