@relation 'webtext-weka.filters.unsupervised.attribute.Remove-V-R585,1509,1499,438,1484,1490,555,88,1521,966,4,1487,1485,395,1511,1507,1497,95,1512,1498,20,1526,1496,261,429,760,1481,442,1513,1503,1508,31,1540,1532,1534,179,256,516,1491,1495,1500,691,539,1530,1556,281,644,1488,44,75,1514,384,1520,696,1489,421,1541,1539,122,524,665,1577,1574,380,1518,558,1535,1073,758,1480,454,812,1515,51,1061,937,584,969,1523,164,1555,403,728,173,1005,647,949,538,599,786,1542,1536,383,203,118,988,54,649,751,377,1525,1501,1506,199,371,1502,521,1557,222,916,1476,55,1486,10,102,1567,1563,953,1151,1531,437,3,1029,715,1524,1516,653,408,350,621,886,397,1505,1560,659,968,1519,1528,292,991,1543,1533,975,12,1582,288,1510,1504,866,1007,550,936,42,374,258,743,412,1529,1107,572,710,1482,297,985,465,519,94,528,690,404,946,69,367,425,919,787,409,115,1616,602,1025,456,360,299,1008,609,188,1537,1127,490,888,1561,536,920,89,1613,206,216,1558,1554,289,1015,871,533,593,433,317,1579,386,1570,873,537,961,406,385,1527,107,1596,418,105,167,1569,241,1054,375,980,943,566,61,569,1483,434,1477,1479,1478,819,1017,407,176,220,1553,1014,1603,785,486,895,1084,2,860,1517,1583,658,93,1590,853,345,868,353,522,619,699,428,18,967,273,398,422,343,1146,951,257,795,378,823,413,732,707,15,1050,1020,92,677,1538,53,1566,457,1068,1089,364,1559,98,973,674,906,799,1154,1216,752,1193,1016,672,1027,504,1593,510,582,564,990,419,411,488,475,784,1589,372,620,639,1544,1547,1230,300,794,226,181,1575,1024,158,679,1549,935,1093,984,706,1150,1010,901,839,120,163,394,1160,1051,1021,867,957,568,1607,694,738,1003,444,712,851,1085,136,13,840,1618,864,342,307,1615,1284,393,1246,1149,615,223,1046,481,688,195,1591,1048,543,1139,1626,638,648,36,41,1545,929,1585,1095,123,1602,45,67,808,283,1584,1094,1564,1040,26,1572,1055,520,716,921,989,468,719,617,791,1104,517,982,469,329,290,1652'

@attribute 585 numeric
@attribute 1509 numeric
@attribute 1499 numeric
@attribute 438 numeric
@attribute 1484 numeric
@attribute 1490 numeric
@attribute 555 numeric
@attribute 88 numeric
@attribute 1521 numeric
@attribute 966 numeric
@attribute 4 numeric
@attribute 1487 numeric
@attribute 1485 numeric
@attribute 395 numeric
@attribute 1511 numeric
@attribute 1507 numeric
@attribute 1497 numeric
@attribute 95 numeric
@attribute 1512 numeric
@attribute 1498 numeric
@attribute 20 numeric
@attribute 1526 numeric
@attribute 1496 numeric
@attribute 261 numeric
@attribute 429 numeric
@attribute 760 numeric
@attribute 1481 numeric
@attribute 442 numeric
@attribute 1513 numeric
@attribute 1503 numeric
@attribute 1508 numeric
@attribute 31 numeric
@attribute 1540 numeric
@attribute 1532 numeric
@attribute 1534 numeric
@attribute 179 numeric
@attribute 256 numeric
@attribute 516 numeric
@attribute 1491 numeric
@attribute 1495 numeric
@attribute 1500 numeric
@attribute 691 numeric
@attribute 539 numeric
@attribute 1530 numeric
@attribute 1556 numeric
@attribute 281 numeric
@attribute 644 numeric
@attribute 1488 numeric
@attribute 44 numeric
@attribute 75 numeric
@attribute 1514 numeric
@attribute 384 numeric
@attribute 1520 numeric
@attribute 696 numeric
@attribute 1489 numeric
@attribute 421 numeric
@attribute 1541 numeric
@attribute 1539 numeric
@attribute 122 numeric
@attribute 524 numeric
@attribute 665 numeric
@attribute 1577 numeric
@attribute 1574 numeric
@attribute 380 numeric
@attribute 1518 numeric
@attribute 558 numeric
@attribute 1535 numeric
@attribute 1073 numeric
@attribute 758 numeric
@attribute 1480 numeric
@attribute 454 numeric
@attribute 812 numeric
@attribute 1515 numeric
@attribute 51 numeric
@attribute 1061 numeric
@attribute 937 numeric
@attribute 584 numeric
@attribute 969 numeric
@attribute 1523 numeric
@attribute 164 numeric
@attribute 1555 numeric
@attribute 403 numeric
@attribute 728 numeric
@attribute 173 numeric
@attribute 1005 numeric
@attribute 647 numeric
@attribute 949 numeric
@attribute 538 numeric
@attribute 599 numeric
@attribute 786 numeric
@attribute 1542 numeric
@attribute 1536 numeric
@attribute 383 numeric
@attribute 203 numeric
@attribute 118 numeric
@attribute 988 numeric
@attribute 54 numeric
@attribute 649 numeric
@attribute 751 numeric
@attribute 377 numeric
@attribute 1525 numeric
@attribute 1501 numeric
@attribute 1506 numeric
@attribute 199 numeric
@attribute 371 numeric
@attribute 1502 numeric
@attribute 521 numeric
@attribute 1557 numeric
@attribute 222 numeric
@attribute 916 numeric
@attribute 1476 numeric
@attribute 55 numeric
@attribute 1486 numeric
@attribute 10 numeric
@attribute 102 numeric
@attribute 1567 numeric
@attribute 1563 numeric
@attribute 953 numeric
@attribute 1151 numeric
@attribute 1531 numeric
@attribute 437 numeric
@attribute 3 numeric
@attribute 1029 numeric
@attribute 715 numeric
@attribute 1524 numeric
@attribute 1516 numeric
@attribute 653 numeric
@attribute 408 numeric
@attribute 350 numeric
@attribute 621 numeric
@attribute 886 numeric
@attribute 397 numeric
@attribute 1505 numeric
@attribute 1560 numeric
@attribute 659 numeric
@attribute 968 numeric
@attribute 1519 numeric
@attribute 1528 numeric
@attribute 292 numeric
@attribute 991 numeric
@attribute 1543 numeric
@attribute 1533 numeric
@attribute 975 numeric
@attribute 12 numeric
@attribute 1582 numeric
@attribute 288 numeric
@attribute 1510 numeric
@attribute 1504 numeric
@attribute 866 numeric
@attribute 1007 numeric
@attribute 550 numeric
@attribute 936 numeric
@attribute 42 numeric
@attribute 374 numeric
@attribute 258 numeric
@attribute 743 numeric
@attribute 412 numeric
@attribute 1529 numeric
@attribute 1107 numeric
@attribute 572 numeric
@attribute 710 numeric
@attribute 1482 numeric
@attribute 297 numeric
@attribute 985 numeric
@attribute 465 numeric
@attribute 519 numeric
@attribute 94 numeric
@attribute 528 numeric
@attribute 690 numeric
@attribute 404 numeric
@attribute 946 numeric
@attribute 69 numeric
@attribute 367 numeric
@attribute 425 numeric
@attribute 919 numeric
@attribute 787 numeric
@attribute 409 numeric
@attribute 115 numeric
@attribute 1616 numeric
@attribute 602 numeric
@attribute 1025 numeric
@attribute 456 numeric
@attribute 360 numeric
@attribute 299 numeric
@attribute 1008 numeric
@attribute 609 numeric
@attribute 188 numeric
@attribute 1537 numeric
@attribute 1127 numeric
@attribute 490 numeric
@attribute 888 numeric
@attribute 1561 numeric
@attribute 536 numeric
@attribute 920 numeric
@attribute 89 numeric
@attribute 1613 numeric
@attribute 206 numeric
@attribute 216 numeric
@attribute 1558 numeric
@attribute 1554 numeric
@attribute 289 numeric
@attribute 1015 numeric
@attribute 871 numeric
@attribute 533 numeric
@attribute 593 numeric
@attribute 433 numeric
@attribute 317 numeric
@attribute 1579 numeric
@attribute 386 numeric
@attribute 1570 numeric
@attribute 873 numeric
@attribute 537 numeric
@attribute 961 numeric
@attribute 406 numeric
@attribute 385 numeric
@attribute 1527 numeric
@attribute 107 numeric
@attribute 1596 numeric
@attribute 418 numeric
@attribute 105 numeric
@attribute 167 numeric
@attribute 1569 numeric
@attribute 241 numeric
@attribute 1054 numeric
@attribute 375 numeric
@attribute 980 numeric
@attribute 943 numeric
@attribute 566 numeric
@attribute 61 numeric
@attribute 569 numeric
@attribute 1483 numeric
@attribute 434 numeric
@attribute 1477 numeric
@attribute 1479 numeric
@attribute 1478 numeric
@attribute 819 numeric
@attribute 1017 numeric
@attribute 407 numeric
@attribute 176 numeric
@attribute 220 numeric
@attribute 1553 numeric
@attribute 1014 numeric
@attribute 1603 numeric
@attribute 785 numeric
@attribute 486 numeric
@attribute 895 numeric
@attribute 1084 numeric
@attribute 2 numeric
@attribute 860 numeric
@attribute 1517 numeric
@attribute 1583 numeric
@attribute 658 numeric
@attribute 93 numeric
@attribute 1590 numeric
@attribute 853 numeric
@attribute 345 numeric
@attribute 868 numeric
@attribute 353 numeric
@attribute 522 numeric
@attribute 619 numeric
@attribute 699 numeric
@attribute 428 numeric
@attribute 18 numeric
@attribute 967 numeric
@attribute 273 numeric
@attribute 398 numeric
@attribute 422 numeric
@attribute 343 numeric
@attribute 1146 numeric
@attribute 951 numeric
@attribute 257 numeric
@attribute 795 numeric
@attribute 378 numeric
@attribute 823 numeric
@attribute 413 numeric
@attribute 732 numeric
@attribute 707 numeric
@attribute 15 numeric
@attribute 1050 numeric
@attribute 1020 numeric
@attribute 92 numeric
@attribute 677 numeric
@attribute 1538 numeric
@attribute 53 numeric
@attribute 1566 numeric
@attribute 457 numeric
@attribute 1068 numeric
@attribute 1089 numeric
@attribute 364 numeric
@attribute 1559 numeric
@attribute 98 numeric
@attribute 973 numeric
@attribute 674 numeric
@attribute 906 numeric
@attribute 799 numeric
@attribute 1154 numeric
@attribute 1216 numeric
@attribute 752 numeric
@attribute 1193 numeric
@attribute 1016 numeric
@attribute 672 numeric
@attribute 1027 numeric
@attribute 504 numeric
@attribute 1593 numeric
@attribute 510 numeric
@attribute 582 numeric
@attribute 564 numeric
@attribute 990 numeric
@attribute 419 numeric
@attribute 411 numeric
@attribute 488 numeric
@attribute 475 numeric
@attribute 784 numeric
@attribute 1589 numeric
@attribute 372 numeric
@attribute 620 numeric
@attribute 639 numeric
@attribute 1544 numeric
@attribute 1547 numeric
@attribute 1230 numeric
@attribute 300 numeric
@attribute 794 numeric
@attribute 226 numeric
@attribute 181 numeric
@attribute 1575 numeric
@attribute 1024 numeric
@attribute 158 numeric
@attribute 679 numeric
@attribute 1549 numeric
@attribute 935 numeric
@attribute 1093 numeric
@attribute 984 numeric
@attribute 706 numeric
@attribute 1150 numeric
@attribute 1010 numeric
@attribute 901 numeric
@attribute 839 numeric
@attribute 120 numeric
@attribute 163 numeric
@attribute 394 numeric
@attribute 1160 numeric
@attribute 1051 numeric
@attribute 1021 numeric
@attribute 867 numeric
@attribute 957 numeric
@attribute 568 numeric
@attribute 1607 numeric
@attribute 694 numeric
@attribute 738 numeric
@attribute 1003 numeric
@attribute 444 numeric
@attribute 712 numeric
@attribute 851 numeric
@attribute 1085 numeric
@attribute 136 numeric
@attribute 13 numeric
@attribute 840 numeric
@attribute 1618 numeric
@attribute 864 numeric
@attribute 342 numeric
@attribute 307 numeric
@attribute 1615 numeric
@attribute 1284 numeric
@attribute 393 numeric
@attribute 1246 numeric
@attribute 1149 numeric
@attribute 615 numeric
@attribute 223 numeric
@attribute 1046 numeric
@attribute 481 numeric
@attribute 688 numeric
@attribute 195 numeric
@attribute 1591 numeric
@attribute 1048 numeric
@attribute 543 numeric
@attribute 1139 numeric
@attribute 1626 numeric
@attribute 638 numeric
@attribute 648 numeric
@attribute 36 numeric
@attribute 41 numeric
@attribute 1545 numeric
@attribute 929 numeric
@attribute 1585 numeric
@attribute 1095 numeric
@attribute 123 numeric
@attribute 1602 numeric
@attribute 45 numeric
@attribute 67 numeric
@attribute 808 numeric
@attribute 283 numeric
@attribute 1584 numeric
@attribute 1094 numeric
@attribute 1564 numeric
@attribute 1040 numeric
@attribute 26 numeric
@attribute 1572 numeric
@attribute 1055 numeric
@attribute 520 numeric
@attribute 716 numeric
@attribute 921 numeric
@attribute 989 numeric
@attribute 468 numeric
@attribute 719 numeric
@attribute 617 numeric
@attribute 791 numeric
@attribute 1104 numeric
@attribute 517 numeric
@attribute 982 numeric
@attribute 469 numeric
@attribute 329 numeric
@attribute 290 numeric
@attribute class {overheard,grail,firefox,wine,pirates}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,overheard
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grail
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,firefox
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,overheard
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,overheard
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,firefox
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,overheard
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grail
0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,firefox
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wine
