338,337,480,481,479,559,560,309,22,292,12,143,7,333,478,4,106,259,13,2,25,340,339,324,99,328,332,483,341,334,471,26,358,390,45,140,161,33,90,76,39,112,207,432,148,20,199,18,318,271,326,253,285,288,159,72,236,104,351,488,321,342,302,368,353,269,388,382,263,165,443,261,482,470,56,277,371,15,102,331,364,451,469,355,1,394,304,174,23,125,36,513,305,336,166,136,402,73,362,385,617,317,173,517,486,460,465,447,428,295,377,171,296,441,142,313,437,310,260,430,383,457,540,536,529,568,599,507,636,589,548,323,193,509,515,
Score Information 
338 : 8.748602468788173E-29
337 : 8.748602468788173E-29
480 : 8.748602468788173E-29
481 : 8.748602468788173E-29
479 : 8.748602468788173E-29
559 : 8.748602468788173E-29
560 : 8.748602468788173E-29
309 : 2.7718817112151487E-25
22 : 4.253394716282581E-17
292 : 8.739803480981054E-16
12 : 1.408700247144935E-13
143 : 1.4871894135264857E-13
7 : 5.907303048392953E-12
333 : 1.268641586457741E-10
478 : 1.268641586457741E-10
4 : 1.4123255042082527E-10
106 : 1.8838559514900147E-10
259 : 3.5160079301982043E-10
13 : 4.450170532512737E-10
2 : 5.168727361003708E-10
25 : 5.986654015292124E-10
340 : 1.2101214421715095E-9
339 : 1.2101214421715139E-9
324 : 1.6563268816758453E-9
99 : 1.0397062694370256E-8
328 : 1.1078763356521397E-8
332 : 1.1078763356521437E-8
483 : 1.1078763356521437E-8
341 : 1.1078763356521437E-8
334 : 1.5089520233650542E-8
471 : 1.6138679030016293E-8
26 : 1.718056307184077E-8
358 : 1.8797847498522454E-8
390 : 2.4185826407864747E-8
45 : 2.5835237532335993E-8
140 : 2.8555608089848085E-8
161 : 6.242206662111923E-8
33 : 6.275533555712031E-8
90 : 7.387502928892269E-8
76 : 1.309631311421565E-7
39 : 1.666038545923043E-7
112 : 2.0124108897710777E-7
207 : 2.435714955885616E-7
432 : 3.814201643276011E-7
148 : 3.858492958766946E-7
20 : 4.105402815163046E-7
199 : 4.537455413966632E-7
18 : 6.09757615640011E-7
318 : 6.808525523321754E-7
271 : 1.079688274433076E-6
326 : 1.079688274433076E-6
253 : 1.079688274433076E-6
285 : 1.1117806108588891E-6
288 : 1.1117806108588891E-6
159 : 2.0512126542692738E-6
72 : 2.4939025221784965E-6
236 : 2.8943054830606692E-6
104 : 3.1217731391341925E-6
351 : 5.262024033282926E-6
488 : 5.316731247793613E-6
321 : 5.316731247793623E-6
342 : 6.006460885969389E-6
302 : 8.415395247464156E-6
368 : 1.0004828116343287E-5
353 : 1.1334044601357628E-5
269 : 1.5276496175313873E-5
388 : 2.3214220689814122E-5
382 : 2.4028102977709386E-5
263 : 2.7362479835242276E-5
165 : 2.7362479835242283E-5
443 : 2.7362479835242283E-5
261 : 3.305917955832628E-5
482 : 3.613162534858002E-5
470 : 3.613162534858002E-5
56 : 3.766184601537753E-5
277 : 4.6175204155669655E-5
371 : 4.774692969266204E-5
15 : 4.7746929692662136E-5
102 : 5.3836377241902576E-5
331 : 5.935022404362453E-5
364 : 6.168250322789803E-5
451 : 6.505201961000385E-5
469 : 7.670965088487128E-5
355 : 8.309344683575248E-5
1 : 8.934655159715223E-5
394 : 9.527041883661952E-5
304 : 1.0409582648372246E-4
174 : 1.0997989515058451E-4
23 : 1.1754327847078214E-4
125 : 1.3115554999864774E-4
36 : 1.3538515958717398E-4
513 : 2.0271631902999548E-4
305 : 2.0271631902999548E-4
336 : 2.027163190299959E-4
166 : 2.1803245002554027E-4
136 : 2.3782110866107792E-4
402 : 2.7035034916736374E-4
73 : 2.7707906524643077E-4
362 : 2.874294329836448E-4
385 : 3.5798600480172735E-4
617 : 3.6483488907407914E-4
317 : 4.030587629025044E-4
173 : 4.030587629025044E-4
517 : 4.201887133441473E-4
486 : 4.964386929344779E-4
460 : 4.964386929344788E-4
465 : 4.970204040525149E-4
447 : 5.282334043484713E-4
428 : 5.99163306952739E-4
295 : 8.137016468017674E-4
377 : 0.0010681609491816758
171 : 0.0011205894139191559
296 : 0.0011205894139191559
441 : 0.0011205894139191559
142 : 0.0012036234166357459
313 : 0.0012060866490035697
437 : 0.0012060866490035697
310 : 0.0018132288986577026
260 : 0.0018132288986577026
430 : 0.0018357330212911244
383 : 0.001873359418284021
457 : 0.0018733594182840248
540 : 0.0019146368573298772
536 : 0.0024839824163614328
529 : 0.0024839824163614328
568 : 0.0024839824163614328
599 : 0.0024839824163614375
507 : 0.0024839824163614375
636 : 0.0024839824163614375
589 : 0.0024839824163614375
548 : 0.0026191475700771726
323 : 0.0029021030865481667
193 : 0.0035160350195031116
509 : 0.004626656734915143
515 : 0.012972053006749135
