560,22,292,7,4,45,13,340,33,148,334,112,236,207,15,388,174,263,326,1,353,364,317,36,460,402,136,313,260,193,540,
Score Information 
560 : 0.41359206072555393
22 : 0.2607533806318054
292 : 0.2206792044067577
7 : 0.18844703526466958
4 : 0.17353399064568362
45 : 0.1661480222273782
13 : 0.1534740561425697
340 : 0.1397141764398773
33 : 0.1371912589054271
148 : 0.125971155595413
334 : 0.12510159372388846
112 : 0.12234635582603053
236 : 0.11110995014171386
207 : 0.10787911973554103
15 : 0.10779687666956508
388 : 0.10631017636074701
174 : 0.1038006884965427
263 : 0.10199696400406943
326 : 0.10087341913476294
1 : 0.09698585058532411
353 : 0.09589955428332998
364 : 0.092214188767452
317 : 0.08473918557276094
36 : 0.08342274190594325
460 : 0.0801315206400155
402 : 0.07841929707645691
136 : 0.07780121420520514
313 : 0.07692223165601488
260 : 0.0715226436335699
193 : 0.07009958623721468
540 : 0.06738211719230379
