474,684,524,219,764,542,561,565,1224,797,83,177,544,514,1230,290,1003,960,1140,1197,685,1050,459,809,758,428,7,654,681,234,50,309,207,866,147,334,
Score Information 
474 : 1.959443239093101E-83
684 : 5.676213361331422E-57
524 : 1.9478329175717442E-10
219 : 5.51499429072815E-10
764 : 8.951365309862737E-10
542 : 5.274922734809581E-7
561 : 5.942416768358852E-7
565 : 8.560082552946393E-7
1224 : 2.601412953350188E-6
797 : 1.575825467777237E-5
83 : 2.2246600978890242E-5
177 : 2.734214679612395E-5
544 : 2.734214679612395E-5
514 : 1.2533550062714599E-4
1230 : 2.912602199820689E-4
290 : 5.490522054281004E-4
1003 : 9.058063722644869E-4
960 : 9.058063722644869E-4
1140 : 9.058063722644869E-4
1197 : 0.001215077612209447
685 : 0.001215077612209447
1050 : 0.001215077612209447
459 : 0.001215077612209447
809 : 0.0026606304363704894
758 : 0.003077134690665534
428 : 0.003077134690665534
7 : 0.003077134690665534
654 : 0.006485974969206391
681 : 0.006951734097733856
234 : 0.007158448977402611
50 : 0.009547630248166692
309 : 0.018901469743973227
207 : 0.024911505005032777
866 : 0.024960153562307876
147 : 0.03588668253637472
334 : 0.03999305005732138
