681,485,83,682,668,809,816,812,814,797,671,561,141,807,804,865,460,861,729,868,476,468,
Score Information 
681 : 0.36738603972749184
485 : 0.11952685595191273
83 : 0.07328890431012107
682 : 0.0663447675889717
668 : 0.05135153869866223
809 : 0.046028568251995944
816 : 0.039653755382835054
812 : 0.03322401893229442
814 : 0.03322401893229442
797 : 0.03322401893229442
671 : 0.031088362442539944
561 : 0.022743201247394918
141 : 0.02217289966969862
807 : 0.020176989933002022
804 : 0.020176989933002022
865 : 0.020064858095730154
460 : 0.019698110824115322
861 : 0.014198336504698641
729 : 0.013544860759778302
868 : 0.012413264014745493
476 : 0.011685256563399474
468 : 0.011685256563399474
