585,1509,1499,438,1484,1490,555,1521,88,966,4,1487,1485,395,1511,1507,1497,1512,20,1498,95,1526,1496,261,760,429,442,1513,1503,1508,1481,1540,1532,1534,31,179,256,516,1491,1495,1500,691,539,1530,1556,281,644,1488,44,1514,75,384,1520,696,1489,421,1541,1539,122,524,665,1577,1574,380,1518,558,1535,1073,758,1480,454,812,1515,51,1061,937,584,969,1523,164,1555,728,403,173,1005,647,949,538,786,599,383,1542,1536,203,118,988,54,751,377,1525,1501,1506,649,199,371,1502,521,1557,916,222,1476,1486,55,10,1567,1563,102,953,1151,1531,437,3,715,1524,1516,653,1029,408,350,968,397,621,886,1519,1505,1560,659,975,991,1528,1543,1533,292,1582,12,288,866,1510,1504,1007,550,936,743,374,42,258,412,1529,710,572,1107,1482,297,519,528,985,465,94,946,404,690,69,367,425,919,1616,787,409,115,602,1025,456,360,609,188,1537,1008,299,1127,490,888,1561,536,920,1613,206,216,1558,1554,289,89,1015,533,537,317,961,1579,593,386,385,406,433,873,871,1570,1527,1596,107,418,943,980,566,375,167,1569,61,105,241,1054,569,1483,434,1477,1479,1478,819,1017,407,176,220,1553,1603,785,895,486,1014,1084,2,860,1517,1583,658,1590,93,345,522,353,428,619,868,853,699,18,967,273,398,422,343,732,707,951,795,1146,378,823,413,15,1050,1020,257,92,677,1538,1566,53,457,1068,364,1089,1559,98,973,799,752,1193,1154,674,1016,1216,906,672,1027,510,504,1593,300,582,564,794,990,784,1589,372,620,419,411,226,639,1544,1547,488,475,1230,1024,1575,181,158,679,1549,935,1093,738,984,706,1607,957,568,394,1150,1160,163,839,120,867,694,1003,1010,1051,1021,901,712,444,851,1085,648,342,543,307,1626,1615,1618,1591,393,1149,1139,223,615,840,864,136,688,195,638,13,481,1284,1048,1046,1246,36,1545,41,929,1585,1095,1602,123,45,67,808,283,1584,1094,1564,1040,26,1572,1055,921,517,329,716,719,520,989,982,974,1605,1627,791,768,1104,598,381,1168,1173,171,617,138,468,469,72,1292,1283,290,1019,68,249,296,467,43,11,23,1130,361,835,19,1587,1586,172,306,169,443,5,944,336,321,958,1201,561,1644,500,1184,1378,373,1172,1306,632,1551,666,37,1268,1254,266,1214,1218,614,96,474,78,81,774,402,918,213,160,931,1493,845,1576,1076,1594,1599,111,847,976,1609,556,552,1628,798,992,753,1198,1588,591,387,1344,1140,1317,814,423,439,137,881,1075,16,87,493,1256,1053,1222,259,781,1639,1137,487,1012,50,215,148,554,1568,103,1620,885,1232,532,1573,1120,463,60,1035,861,686,926,945,1418,740,1424,341,314,576,705,962,1606,1610,1635,765,1394,1103,1141,1162,1319,150,207,416,125,130,850,682,684,678,875,874,1571,645,286,483,1288,271,1275,1272,495,1251,1030,1022,905,116,737,720,1299,1259,822,1546,354,221,697,640,82,494,365,1494,747,368,168,132,84,924,166,1274,335,1425,541,545,570,704,580,972,959,560,1405,955,956,1203,1641,783,780,763,759,1182,1393,1115,592,1138,1366,1156,1159,352,1161,804,401,820,426,180,121,837,836,869,689,675,876,33,1097,1072,1004,489,1280,1270,1269,295,1249,265,1409,1177,1178,415,449,858,460,660,1062,900,514,1036,1384,1581,892,833,58,1240,587,1621,1375,624,135,1057,63,248,977,1118,379,800,616,1125,230,46,471,1608,513,1600,734,38,1220,1080,1143,240,149,452,450,1428,939,544,315,922,1440,1446,917,987,701,308,583,965,963,960,1406,954,1407,950,1207,1623,1617,1611,1634,782,776,777,764,761,1197,1191,1108,1380,1379,1377,1147,1342,1337,1338,1171,355,357,802,801,159,208,405,218,417,622,182,844,126,124,133,854,1522,887,695,894,896,32,1066,85,1278,1267,1265,294,293,1047,1250,1245,1243,1247,1248,1239,1028,1228,978,1597,1129,1354,458,1092,1316,1642,1195,238,24,104,399,1580,73,1045,1625,1624,1630,506,1135,1302,634,1279,1166,928,59,445,347,6,1389,1345,358,1452,1077,1064,64,91,683,320,817,709,1619,154,1320,1307,673,1467,1233,1237,1023,1224,1324,685,303,497,1411,941,1414,942,1413,940,1417,948,535,749,742,1420,1437,319,518,1448,908,1450,527,581,588,557,952,567,1208,563,1614,1646,1645,1640,797,796,999,778,1650,769,754,1194,1186,1105,1102,1392,1387,1383,595,1144,382,388,1343,1331,1332,1367,1364,1170,1174,1155,1164,807,152,151,606,605,1330,400,829,826,217,821,170,410,224,816,229,1305,427,610,612,611,613,843,119,127,831,838,855,884,681,872,870,633,657,28,30,1074,14,1070,21,1460,1465,47,1291,1009,1011,1282,270,272,277,1276,1271,1262,1258,1049,242,237,1225,502,435,947,508,1187,1180,1395,1461,531,512,503,1110,396,204,129,1096,470,131,574,1189,479,9,1412,746,757,1396,1123,1113,187,1301,436,1293,491,492,631,141,703,1212,1065,1592,97,
Score Information 
585 : 1.199814401001459E-109
1509 : 1.199814401001459E-109
1499 : 1.199814401001459E-109
438 : 3.706156941795384E-85
1484 : 3.706156941795384E-85
1490 : 3.706156941795384E-85
555 : 4.631328808447749E-79
1521 : 2.700853389404173E-73
88 : 2.700853389404173E-73
966 : 1.3604265342057628E-70
4 : 2.879035813640204E-70
1487 : 2.879035813640204E-70
1485 : 2.879035813640204E-70
395 : 8.468839015415603E-69
1511 : 8.468839015415603E-69
1507 : 8.468839015415603E-69
1497 : 8.468839015415603E-69
1512 : 4.056320220305849E-66
20 : 4.056320220305849E-66
1498 : 4.056320220305849E-66
95 : 4.056320220305849E-66
1526 : 3.1525673769885777E-65
1496 : 9.469324615986115E-65
261 : 9.469324615986115E-65
760 : 1.450674369720009E-62
429 : 1.450674369720009E-62
442 : 1.450674369720009E-62
1513 : 1.450674369720009E-62
1503 : 1.450674369720009E-62
1508 : 1.450674369720009E-62
1481 : 1.450674369720009E-62
1540 : 1.3739701327417297E-61
1532 : 1.3739701327417297E-61
1534 : 1.3739701327417297E-61
31 : 1.3739701327417297E-61
179 : 8.503764359552241E-61
256 : 4.919036512313621E-59
516 : 2.110405435011813E-56
1491 : 2.110405435011813E-56
1495 : 2.110405435011813E-56
1500 : 1.5817180897065492E-55
691 : 1.5817180897065492E-55
539 : 1.1812542231605023E-54
1530 : 2.611206664702559E-50
1556 : 1.9117246329366527E-49
281 : 1.9117246329366527E-49
644 : 4.168197351598924E-49
1488 : 4.168197351598924E-49
44 : 1.3949862036225613E-48
1514 : 2.230993349331568E-47
75 : 2.230993349331568E-47
384 : 7.354228386709768E-47
1520 : 7.354228386709768E-47
696 : 7.354228386709768E-47
1489 : 7.354228386709768E-47
421 : 5.313216476425002E-46
1541 : 5.313216476425002E-46
1539 : 5.313216476425002E-46
122 : 3.825902641189094E-45
524 : 6.701379812764978E-45
665 : 1.9640280058809E-43
1577 : 7.045095476054488E-41
1574 : 7.045095476054488E-41
380 : 7.045095476054488E-41
1518 : 7.045095476054488E-41
558 : 4.9722583861829816E-40
1535 : 4.9722583861829816E-40
1073 : 4.9722583861829816E-40
758 : 1.6598389923366432E-39
1480 : 1.6598389923366432E-39
454 : 1.999241136020551E-39
812 : 3.497504892202633E-39
1515 : 3.497504892202633E-39
51 : 3.76404330044013E-37
1061 : 5.30169638703005E-37
937 : 4.306521237537234E-36
584 : 3.94478029376757E-34
969 : 8.73689276534686E-34
1523 : 8.73689276534686E-34
164 : 8.756046577526742E-34
1555 : 8.756046577526742E-34
728 : 1.8542695212658382E-32
403 : 1.8542695212658382E-32
173 : 1.264665001553108E-31
1005 : 1.264665001553108E-31
647 : 2.739265739322893E-31
949 : 2.7970769151456966E-31
538 : 8.595092237569998E-31
786 : 8.595092237569998E-31
599 : 8.595092237569998E-31
383 : 8.595092237569998E-31
1542 : 8.595092237569998E-31
1536 : 8.595092237569998E-31
203 : 5.8208616869260785E-30
118 : 5.8208616869260785E-30
988 : 3.928022200466182E-29
54 : 7.425200512003425E-29
751 : 2.641177145438846E-28
377 : 2.641177145438846E-28
1525 : 2.641177145438846E-28
1501 : 2.641177145438846E-28
1506 : 2.641177145438846E-28
649 : 2.641177145438846E-28
199 : 1.7694723284919256E-27
371 : 3.902895195697467E-27
1502 : 3.902895195697467E-27
521 : 9.880507249349146E-27
1557 : 9.880507249349146E-27
916 : 1.1811278233597742E-26
222 : 1.1811278233597742E-26
1476 : 1.1811278233597742E-26
1486 : 1.1811278233597742E-26
55 : 1.1811278233597742E-26
10 : 1.2976935935410312E-26
1567 : 3.3196214173322744E-26
1563 : 3.3196214173322744E-26
102 : 3.3196214173322744E-26
953 : 7.854878865635999E-26
1151 : 7.854878865635999E-26
1531 : 7.854878865635999E-26
437 : 3.8473390687882463E-25
3 : 5.204179828104008E-25
715 : 5.204179828104008E-25
1524 : 5.204179828104008E-25
1516 : 5.204179828104008E-25
653 : 5.204179828104008E-25
1029 : 5.204179828104008E-25
408 : 7.243258108047886E-25
350 : 2.9865981743225518E-24
968 : 3.434899078391429E-24
397 : 3.434899078391429E-24
621 : 3.434899078391429E-24
886 : 3.434899078391429E-24
1519 : 3.434899078391429E-24
1505 : 3.434899078391429E-24
1560 : 3.434899078391429E-24
659 : 3.434899078391429E-24
975 : 1.4790630677862018E-22
991 : 1.4790630677862018E-22
1528 : 1.4790630677862018E-22
1543 : 1.4790630677862018E-22
1533 : 1.4790630677862018E-22
292 : 1.4790630677862018E-22
1582 : 9.648106249974805E-22
12 : 9.648106249974805E-22
288 : 9.648106249974805E-22
866 : 6.268076274739934E-21
1510 : 6.268076274739934E-21
1504 : 6.268076274739934E-21
1007 : 6.268076274739934E-21
